policy_id,policy_type,policy_holder_name,policy_start_date,policy_end_date,premium_amount,coverage_amount,deductible,policy_status,risk_score
POL-A-1001,Auto,John Anderson,2023-01-10,2024-01-10,1200.00,50000.00,500.00,Active,0.35
POL-H-2034,Home,Sarah Mitchell,2023-02-15,2024-02-15,1800.00,250000.00,1000.00,Active,0.28
POL-A-1045,Auto,Michael Chen,2023-03-20,2024-03-20,1350.00,75000.00,750.00,Active,0.42
POL-H-2156,Home,Emily Rodriguez,2023-04-05,2024-04-05,2100.00,350000.00,1500.00,Active,0.31
POL-A-1089,Auto,David Thompson,2023-05-12,2024-05-12,1100.00,50000.00,500.00,Active,0.25
POL-H-2201,Home,Jennifer Williams,2023-06-18,2024-06-18,1950.00,300000.00,1000.00,Active,0.33
POL-A-1123,Auto,Robert Garcia,2023-07-22,2024-07-22,1250.00,60000.00,500.00,Active,0.29
POL-H-2289,Home,Lisa Martinez,2023-08-30,2024-08-30,2200.00,400000.00,2000.00,Active,0.36
POL-A-1167,Auto,James Taylor,2023-09-15,2024-09-15,1400.00,70000.00,750.00,Active,0.38
POL-H-2334,Home,Patricia Brown,2023-10-20,2024-10-20,1850.00,275000.00,1000.00,Active,0.27
POL-A-1201,Auto,Christopher Lee,2023-11-05,2024-11-05,1500.00,80000.00,1000.00,Active,0.45
POL-H-2378,Home,Mary Johnson,2023-12-10,2024-12-10,2300.00,450000.00,2000.00,Active,0.39
POL-A-1245,Auto,Daniel White,2024-01-15,2025-01-15,1150.00,55000.00,500.00,Active,0.26
POL-H-2423,Home,Barbara Davis,2024-02-20,2025-02-20,1900.00,280000.00,1000.00,Active,0.30
POL-A-1289,Auto,Matthew Wilson,2024-03-25,2025-03-25,1300.00,65000.00,750.00,Active,0.32
POL-H-2467,Home,Susan Moore,2024-04-30,2025-04-30,2000.00,320000.00,1500.00,Active,0.34
POL-A-1334,Auto,Joseph Jackson,2024-05-10,2025-05-10,1450.00,72000.00,750.00,Active,0.40
POL-H-2512,Home,Jessica Thomas,2024-06-15,2025-06-15,1950.00,290000.00,1000.00,Active,0.29
POL-A-1378,Auto,Charles Harris,2024-07-20,2025-07-20,1550.00,85000.00,1000.00,Active,0.47
POL-H-2556,Home,Nancy Martin,2024-08-25,2025-08-25,2250.00,420000.00,2000.00,Active,0.37
POL-A-1423,Auto,Thomas Clark,2024-09-01,2025-09-01,1350.00,68000.00,750.00,Active,0.36
POL-H-2601,Home,Karen Lewis,2024-10-05,2025-10-05,1900.00,285000.00,1000.00,Active,0.28
POL-A-1467,Auto,Richard Walker,2024-11-10,2025-11-10,1200.00,58000.00,500.00,Active,0.31
POL-H-2645,Home,Betty Hall,2024-12-15,2025-12-15,2050.00,330000.00,1500.00,Active,0.35
POL-A-1512,Auto,Steven Allen,2025-01-20,2026-01-20,1480.00,74000.00,750.00,Active,0.41
